epoch,acc,loss,lr,precision,recall,tversky_index,val_acc,val_loss,val_precision,val_recall,val_tversky_index
0,0.8111021332772432,0.9259865795616555,0.001,0.05348004472536752,0.40512726923970577,0.0589622386486014,0.9752467501479968,0.8441205953074767,0.6040037522273781,0.09000396095545946,0.22075396591583185
1,0.9699127718938135,0.6546803789328685,0.001,0.39397220798990634,0.4443747551073279,0.34298512009920273,0.9758343875935648,0.4782757664148786,0.5173367330458312,0.5373356600778293,0.5188410988951151
2,0.9817205163757358,0.5106936835609706,0.001,0.5468305157481042,0.4961508144995412,0.5020889865432298,0.9815814373767482,0.46493633711232546,0.7444369750740254,0.42133809111814585,0.6016450719495791
3,0.9837106344974147,0.47730013411656946,0.001,0.589921037213201,0.5183492283608797,0.5382966630292677,0.9829209562951484,0.4029546147954147,0.7465269059206532,0.5005503117510702,0.6481894834906654
4,0.985545335881478,0.4137232525158772,0.001,0.6507703159498958,0.578239544434885,0.6032936040938428,0.9837354775023671,0.3555548307114998,0.7174202609906154,0.5873318863126029,0.671359579120062
5,0.9858771130047014,0.4192459854931958,0.001,0.6843859904767138,0.566639725811186,0.6041020497646743,0.974514306119058,0.41962295506907776,0.49333319015207544,0.707509473889275,0.541962121440246
6,0.987153724759026,0.38874997660122085,0.001,0.6744052326446811,0.5911825039481695,0.6299799280241132,0.979615330696106,0.36162860731108,0.5769178044479505,0.7170804775921644,0.6120824697798333
7,0.9865850940742323,0.3920769575422844,0.001,0.6837799050309489,0.6022691230858321,0.6283235114760104,0.9821863854880881,0.3790977296576036,0.66529401002732,0.5865370557371494,0.6372812548569874
8,0.9871981426150398,0.3606912008428996,0.0005,0.6843689391883997,0.6393325243029843,0.64994282669396,0.9857944788131039,0.30972000455434345,0.7603017202520792,0.6326530043002778,0.716581116207933
9,0.9886268005434391,0.35039364210272256,0.0005,0.6860026989165133,0.6350424948717113,0.6604382773548101,0.9856669992472218,0.29780863291394394,0.7280378716181864,0.6786886817586105,0.7122273181392028
10,0.9884247898528006,0.32995349564383514,0.0005,0.726415980574304,0.6510624925119687,0.6856877772154006,0.9834459809075414,0.3098291659777143,0.6565935115898605,0.7295130955434479,0.6761276384370517
11,0.9891396560500153,0.29531987578467983,0.0005,0.7345365090707762,0.6916727277293669,0.7141183142640949,0.9866824582614729,0.2894589595035114,0.7714968740412619,0.6589470278900281,0.7336591846120041
12,0.9895143730450521,0.29838191355224203,0.0005,0.7331001120331013,0.6853301862699795,0.7118464013380287,0.9860170156554838,0.2901361727081569,0.7355885104795473,0.686540539285778,0.7198441376728294
13,0.9896838443469157,0.2823645171865953,0.0005,0.743569297336899,0.7075961530208588,0.7257661173301461,0.9852521888977659,0.2879382176736815,0.6957096156820787,0.7297110926788465,0.7053734971358713
14,0.9900484319809264,0.25990706339346625,0.0005,0.7641275923336501,0.724982150888021,0.7485739997530405,0.9861271919402401,0.2809558099350043,0.721492211903091,0.7166787786821348,0.7200134069518705
15,0.9899612000558229,0.2739885618201399,0.0005,0.761574692167012,0.7108763912610249,0.7374509712763592,0.9806977721442164,0.3260587532963373,0.5863972543615156,0.7955706430747446,0.6357516746605392
16,0.9900859699840039,0.27065704644253824,0.0005,0.7571834433922725,0.7198325336243199,0.7375196706404729,0.986842323193508,0.2890317640473357,0.7842559724782421,0.6511959217290962,0.73840788560631
17,0.9879830980722883,0.34559854654084265,0.0005,0.7409486723157157,0.641093958597795,0.6746650832680474,0.9855784172505404,0.2865011380837027,0.7037751817070277,0.7242884293066717,0.7094873327069577
18,0.9901204061719169,0.27230377297485825,0.00025,0.7492634903276916,0.7151865075647303,0.7351693521558711,0.9862460256677813,0.2956489435339396,0.7546639526839805,0.6619950168955643,0.7233968118650723
19,0.9897938961476351,0.2966437540223113,0.00025,0.7471324695950061,0.6845045069941377,0.7170312887271949,0.985252182568069,0.28572611101960715,0.6956515285821088,0.7353579333398195,0.706549880778895
20,0.9906140884994405,0.2545157391413123,0.00025,0.7686746996060937,0.7307341762084877,0.7533146583400996,0.9864404734257048,0.27282350622447193,0.7302553247561497,0.7247231312557659,0.7283314102518875
21,0.9907728858226168,0.26461877627710323,0.00025,0.7556660420599237,0.7212310437343817,0.742619634333965,0.9863843031689129,0.2747252435810798,0.732819964400435,0.7183499325693181,0.7282154254153766
22,0.9910195963045138,0.2470673863339213,0.00025,0.7763545871835894,0.7367685670610022,0.7612148887288254,0.9863799741837831,0.2723087425780507,0.7239742869824435,0.731916093720799,0.7261446234399238
23,0.9911231625396594,0.24814820922581496,0.00025,0.7687659065807815,0.7413899769297744,0.7578081926413341,0.9862049691445005,0.27816106365845267,0.7274770378011518,0.7173548230027731,0.7239495083294084
24,0.9911663772258084,0.24141517070542395,0.00025,0.7705703860363075,0.7516306055858072,0.7627231800450688,0.9859651585595798,0.27702499649166007,0.7179539525403386,0.7286656203523146,0.7208876852440623
25,0.9913492126274953,0.2289349333902376,0.00025,0.7900924163054576,0.7571646560609868,0.7780140350877711,0.9873738309978384,0.26605219229132726,0.7708136217784037,0.7008771416360298,0.7482009777980568
26,0.9891026592360134,0.30333055569007333,0.00025,0.764387499310274,0.6684486416325105,0.7171241147855741,0.9855244059478288,0.27784910507961713,0.6911122846392403,0.7563871203270633,0.709378965660534
27,0.9911710997070886,0.2523151733706483,0.00025,0.7655037326359115,0.7369342166765601,0.7539012194734759,0.9860926354880881,0.2742999628581832,0.7175459661314972,0.7345944363459022,0.7223523718065921
28,0.9912788572564589,0.23657133252219817,0.00025,0.7814556043759912,0.7535701945292211,0.7695413780423392,0.9865268848638619,0.26595372858300675,0.7196055561040355,0.7492549472150549,0.7281815942409819
29,0.991552565741328,0.22981937480183828,0.000125,0.7797528241587951,0.7644974172642801,0.7735167617818951,0.9870562263294659,0.2623341030779138,0.7422688086475946,0.7332014694678045,0.7394901951857372
30,0.9916408861105421,0.22107848709663458,0.000125,0.7990982321511327,0.7639913704015512,0.7863065537098235,0.9869417189496809,0.26837812113550913,0.7516408868595562,0.7128207345979404,0.7394759623350295
31,0.9917872598213432,0.22741046600637183,0.000125,0.7888676700866328,0.764530727293639,0.7782083140537802,0.9873954310881353,0.2612255083776153,0.7634591228139084,0.7156860728179459,0.748447413465618
32,0.9918397889200565,0.22026736625527912,0.000125,0.8004838829546903,0.7644684995170188,0.7873030919416816,0.9871599336641025,0.26312363305978015,0.7536534535146393,0.7208653361396452,0.7434921206626217
