epoch,acc,f1,loss,lr,val_acc,val_f1,val_loss
0,0.9654472591498616,0.7064176829707384,0.3041225645507403,0.001,0.9905568766017885,0.8168340379547775,0.19423265954984856
1,0.9914906217955604,0.8291082792853255,0.17961179957061257,0.001,0.9915000310021141,0.8319557493568136,0.17615656180847528
2,0.9926310008354572,0.8514397787322932,0.1553517446561354,0.001,0.9925241337791145,0.8516131863347801,0.1550633495620855
3,0.9930681145753265,0.8603934741123267,0.145395381059352,0.001,0.993332553712497,0.8657727466680115,0.1394324677582665
4,0.9934383091237617,0.8670530451661049,0.13804837453273525,0.001,0.993462927273482,0.8694439882690467,0.13543754250244575
5,0.9936262530355128,0.8712442506684122,0.1333859246362273,0.001,0.993662043711471,0.8743865658064881,0.1302623843103835
6,0.9870919212952757,nan,0.08688115452101655,0.001,0.9742800111720397,nan,9.99999993922529e-09
7,0.9745835563141427,nan,9.99999993922529e-09,0.001,0.9742800111720397,nan,9.99999993922529e-09
8,0.9745835573601377,nan,9.99999993922529e-09,0.001,0.9742800111720397,nan,9.99999993922529e-09
9,0.9745835566025166,nan,9.99999993922529e-09,0.001,0.9742800111720397,nan,9.99999993922529e-09
