epoch,classifier_out_loss,loss,regressor_out_loss
0,0.901365755185906,2.038784035373928,1.1374182745068158
1,0.8984692712851426,1.7824691069498473,0.8839998349924163
2,0.8980881464499084,1.7440149155830946,0.8459267701785578
3,0.8981864425175013,1.7223163743567573,0.8241299280862614
4,0.8989635174322909,1.7133007068916541,0.8143371884694003
5,0.8991545857801613,1.7055548701359602,0.8064002852792721
6,0.8986733904201676,1.6731448708398542,0.7744714799764195
7,0.8987077255915698,1.6698011130936736,0.7710933900287261
8,0.8981478189145449,1.6633345144599987,0.7651866972372564
9,0.8979559887678953,1.6482092439389548,0.7502532529547241
10,0.899238249483709,1.6479551184573384,0.7487168675551747
11,0.8984787281811326,1.6462449569718698,0.7477662251891922
