epoch,classifier_out_loss,loss,regressor_out_loss
0,0.9012296079525454,2.0138438113207386,1.1126142029803343
1,0.8984843524127651,1.7817607723845075,0.8832764197870476
2,0.8983472111086829,1.7322179349153184,0.8338707240208814
3,0.8979067651127374,1.721614100286496,0.8237073352919632
4,0.8986302367164525,1.715029401003753,0.8163991677152325
5,0.8978026125120183,1.7069861257673196,0.8091835119624391
6,0.8997702123980506,1.6949748856393665,0.7952046744159738
7,0.8981354708829964,1.691551629540704,0.7934161577416223
8,0.8991327735534917,1.6903041073988734,0.7911713355224086
9,0.8983419421999302,1.6745573068882607,0.7762153653827822
10,0.8987728580130642,1.6716661801950496,0.7728933231793362
11,0.8974504349665531,1.6605964178606374,0.7631459833373513
