epoch,acc,f1_2,loss,lr,precision,recall,val_acc,val_f1_2,val_loss,val_precision,val_recall
0,0.8832780974628651,0.15545862618436113,0.8551523260838163,0.001,0.14656914296262255,0.42732094119476005,0.9051373231727465,0.21946687323857197,0.8253792904119576,0.1338874858565035,0.7394904684176488
1,0.9723612043709882,0.3911516470422523,0.5924031547213022,0.001,0.4879507843108304,0.41799927090780925,0.9848157563040741,0.4956635194542134,0.4577196129655416,0.6749889117426577,0.42980721302792035
2,0.9839012997340312,0.4882851451371623,0.4606587209005271,0.001,0.6754724580497868,0.4139603930072183,0.9842324088105058,0.3624439582360529,0.5292089417972395,0.9437959452645969,0.23231240526764793
3,0.9853507544087098,0.535749351325552,0.4068549515399258,0.001,0.7416143863074547,0.4439485211551717,0.9870410946618139,0.5698802091379082,0.35740448785039175,0.8741422422164309,0.4591598500192693
4,0.9859773047202456,0.5527406809933945,0.38631531701678723,0.001,0.7739546879862262,0.4603825466031522,0.988041434140332,0.631796514038491,0.32077898335667837,0.8164910916733531,0.5622478138029048
5,0.9860475253214879,0.5581267209707108,0.3854284231114177,0.001,0.7618234187892053,0.4686689999745747,0.9869698148913089,0.6243627857317967,0.36531813798752505,0.673505729278632,0.6395768575963721
6,0.9868958080764365,0.6037499259794707,0.33875996771111955,0.001,0.7936393613308932,0.5077174946797632,0.9878945234602532,0.6384846510085385,0.33351044686494674,0.742189907922154,0.6080318905610954
7,0.9876842635922727,0.6180028730129774,0.3242773548164199,0.001,0.8042568154303373,0.519853224334991,0.9858420211656959,0.48894012660051867,0.41409302812761967,0.954218876045362,0.3535536150489233
8,0.9861957947764777,0.5717894933351307,0.37137949229341694,0.0005,0.808848016293703,0.49158700662294186,0.9866413938260712,0.5416557488188279,0.36800203808641013,0.9317806500249204,0.4092498833099298
9,0.9877378726955008,0.6172975294819448,0.3277508748316132,0.0005,0.8185733325977241,0.5226208252782842,0.9885685892231697,0.6482739137337271,0.2921747559994723,0.8647421070959715,0.5536441027590658
10,0.9880383194020365,0.6376137932581184,0.30244055733216546,0.0005,0.8234383194847444,0.5311698583902511,0.9889380404379515,0.6676979033292922,0.28293629399443093,0.8421200951643749,0.5895068640202548
11,0.987846445984545,0.6278387451363084,0.3211774303849819,0.0005,0.8012918510795695,0.5396726946057999,0.9887997840358093,0.6772437813007726,0.30234922982950124,0.7524787134828821,0.658469202771651
12,0.9883262153747863,0.6528351321091167,0.29122954475141205,0.0005,0.8294606247043188,0.5544856744859599,0.989236200805259,0.6830403388074014,0.2670616644673643,0.8500826005387095,0.5997231207062713
13,0.9886208559032035,0.654338616053615,0.29277263225707334,0.0005,0.8186871810296995,0.5609981747327653,0.9889942265189855,0.6721403329773287,0.273138165473938,0.8617532643596683,0.5826253600880108
14,0.9890775411529878,0.6661808396467065,0.2873128386197892,0.0005,0.8160717563819041,0.5895884978889891,0.9837829987559699,0.34086965960738935,0.553264085170442,0.9445371559235902,0.2159833615332578
15,0.9787052123420006,0.0072661744264795125,0.9895405616380472,0.0005,0.9984917031452719,0.004152297720777188,0.9803542384004171,0.0009217416492612225,0.9984650369239064,1.0,0.00046115921886505937
16,0.978663081616427,0.0017809897560891036,0.9972442122159806,0.00025,1.0,0.0009521913426050986,0.9803542384004171,0.0009217416492612225,0.9984650369239064,1.0,0.00046115921886505937
17,0.9786630834625886,0.0012167779210696319,0.9979788534409177,0.00025,1.0,0.0006099400850436836,0.9803542384004171,0.0009217416492612225,0.9984650369239064,1.0,0.00046115921886505937
18,0.978663086627437,0.0007957556672328342,0.9986755075180425,0.00025,1.0,0.0003982801922373948,0.9803542384004171,0.0009217416492612225,0.9984650369239064,1.0,0.00046115921886505937
19,0.9786630850450128,0.0009463997658206133,0.9984247808435321,0.000125,1.0,0.00047367720279288354,0.9803542384004171,0.0009217416492612225,0.9984650369239064,1.0,0.00046115921886505937
20,0.9786630800340028,0.005348217441541745,0.9940384552542088,0.000125,1.0,0.004887018357382972,0.9803542384004171,0.0009217416492612225,0.9984650369239064,1.0,0.00046115921886505937
21,0.9786630831988512,0.0007456129020702225,0.9987581622811545,0.000125,1.0,0.0003729979744576643,0.9803542384004171,0.0009217416492612225,0.9984650369239064,1.0,0.00046115921886505937
22,0.978663078715316,0.005201507508288554,0.9942816962710525,6.25e-05,1.0,0.0048133738342037964,0.9803542384004171,0.0009217416492612225,0.9984650369239064,1.0,0.00046115921886505937
23,0.9786630826713765,0.0008445657498411324,0.9985940174191399,6.25e-05,1.0,0.0004226497957646225,0.9803542384004171,0.0009217416492612225,0.9984650369239064,1.0,0.00046115921886505937
24,0.9786630808252149,0.0011184186512651745,0.9981446176503612,6.25e-05,1.0,0.0005611923556858303,0.9803542384004171,0.0009217416492612225,0.9984650369239064,1.0,0.00046115921886505937
25,0.9786630797702655,0.0007695366008530693,0.9987183693235955,3.125e-05,1.0,0.0003849770443022573,0.9803542384004171,0.0009217416492612225,0.9984650369239064,1.0,0.00046115921886505937
26,0.9786630837263259,0.0009977833250824947,0.9983406082718773,3.125e-05,1.0,0.000499704131253622,0.9803542384004171,0.0009217416492612225,0.9984650369239064,1.0,0.00046115921886505937
27,0.9786630795065281,0.0016007045250688886,0.9973663220890855,3.125e-05,1.0,0.0008083650660989559,0.9803542384004171,0.0009217416492612225,0.9984650369239064,1.0,0.00046115921886505937
28,0.9786630813526896,0.005398789824571757,0.99395391556014,1.5625e-05,1.0,0.004912246802584288,0.9803542384004171,0.0009217416492612225,0.9984650369239064,1.0,0.00046115921886505937
29,0.9786630837263259,0.0008076855513463991,0.9986551454109428,1.5625e-05,1.0,0.0004041337651387063,0.9803542384004171,0.0009217416492612225,0.9984650369239064,1.0,0.00046115921886505937
30,0.9786630760779423,0.0058799879715584254,0.9931726846019778,1.5625e-05,1.0,0.005157687826907835,0.9803542384004171,0.0009217416492612225,0.9984650369239064,1.0,0.00046115921886505937
31,0.9786630805614775,0.000930604454919601,0.998451705791254,1e-05,1.0,0.00046591863348571154,0.9803542384004171,0.0009217416492612225,0.9984650369239064,1.0,0.00046115921886505937
32,0.9786630813526896,0.002102875770033601,0.996583157408554,1e-05,1.0,0.0010726509757563512,0.9803542384004171,0.0009217416492612225,0.9984650369239064,1.0,0.00046115921886505937
33,0.9786630863636996,0.0008540257666799842,0.9985782891775654,1e-05,1.0,0.0004273890024110308,0.9803542384004171,0.0009217416492612225,0.9984650369239064,1.0,0.00046115921886505937
