epoch,acc,f1,loss,lr,val_acc,val_f1,val_loss
0,0.8928460244056398,0.08687204743890799,0.913127956137193,0.001,0.9826012190464324,0.07831117800906696,0.9216888309580035
1,0.9779890010842179,0.14963634546219776,0.8503636554279158,0.001,0.9826012190464324,0.23365658178793647,0.7663434063438821
2,0.9780003470657146,0.3220512941809355,0.6779487111927134,0.001,0.9826012190464324,0.18176843456726158,0.8182315905537225
3,0.9786214902337673,0.3816063760128696,0.6183936089541004,0.001,0.9833962980624849,0.3338895822520805,0.6661104037698391
4,0.9763545388669039,0.42597180209328644,0.5740281992254004,0.001,0.9696682348715521,0.3162744852293909,0.6837255042211144
5,0.9746099151341261,0.43949404859964825,0.5605059540377254,0.001,0.9853407561251547,0.350431037423885,0.649568945960661
6,0.978162914778279,0.45745918814059905,0.542540811859401,0.001,0.9845932104946238,0.42587658288204566,0.5741234152717928
7,0.9809516230515675,0.5437087403461996,0.45629125886258826,0.001,0.9829080168124849,0.45864763143843257,0.5413523738363147
8,0.9778744947593824,0.5547298403967799,0.4452701596032202,0.001,0.9868790633910525,0.4551524778382968,0.5448475168869559
9,0.9818439309575916,0.5554445749890488,0.4445554197362039,0.001,0.98458242099897,0.5029831961192915,0.49701681443020307
10,0.9832715065078398,0.6406861237720051,0.35931387622799493,0.001,0.9870756764327531,0.4945480412086554,0.5054519535165972
11,0.9834459745778447,0.6199955349474882,0.38000446505251184,0.001,0.9857102068124619,0.5241289328684849,0.4758710671315151
12,0.983829464005158,0.6604230635989029,0.3395769364010971,0.001,0.9882315608252467,0.5460055961018115,0.4539944038981885
13,0.9847822584937104,0.6785595659661082,0.3214404340338918,0.001,0.9886809682424089,0.5135574003236484,0.486442604951099
14,0.9855395391979048,0.6712404848364866,0.32875951570747175,0.001,0.9797708851046267,0.5038735882370873,0.49612640121341806
15,0.983088939063317,0.6434575029179058,0.3565424970820942,0.001,0.9868466437390421,0.5566665234818923,0.4433334765181077
16,0.9855227813256525,0.6678228652582759,0.3321771373790977,0.001,0.9842280756055781,0.538745318366363,0.46125468163363703
17,0.9852818825603586,0.6980769032925631,0.3019230967074369,0.001,0.988248847227181,0.5674953344648919,0.4325046760846028
18,0.9865052979604333,0.7043222463236446,0.2956777536763554,0.001,0.9887457611286534,0.5816884267646655,0.4183115837848292
19,0.9868018157714236,0.7304066530371134,0.26959334696288656,0.001,0.9885513239202246,0.5850893907842383,0.4149106092157617
20,0.9875725961364477,0.7385515349101176,0.26144846508988234,0.001,0.989171401061843,0.6016068310864204,0.3983931689135796
21,0.9846369560840911,0.6876066917866732,0.3123933082133268,0.001,0.9882574804061282,0.540837747333324,0.4591622632161706
22,0.987233926237157,0.7328263030642956,0.2671736969357043,0.001,0.985161438452459,0.5566403079876857,0.4433596814628196
23,0.9868731134760697,0.7337162352241247,0.2662837647758754,0.001,0.9877562385744754,0.6213735563565145,0.3786264330939909
24,0.9877854063447598,0.7601395317938475,0.23986046820615245,0.001,0.9896639770111152,0.604390121666731,0.3956098888827636
25,0.9886236918711029,0.7478757946364647,0.25212420615474734,0.001,0.9892469971580843,0.5317646312502633,0.4682353687497367
26,0.9886010057103317,0.7385849806323516,0.2614150189720424,0.001,0.9890914591012803,0.49489617716949597,0.5051038281052513
27,0.9826233487213607,0.6134149579875237,0.3865850472872236,0.0005,0.983350889345186,0.5483172319631661,0.4516827680368339
28,0.9876422813508363,0.7267865148265805,0.27321348517341953,0.0005,0.9890849843489385,0.6212402761509989,0.37875973439849586
29,0.9884022437365709,0.7604931682611988,0.23950683173880113,0.0005,0.9900809531718229,0.5882685833272681,0.41173141667273194
30,0.9892059522392476,0.7564878410997644,0.24351215890023561,0.00025,0.9891757284645486,0.6335797948119914,0.36642021573750316
31,0.989519240054409,0.7924844970745323,0.2075155029254677,0.00025,0.9899945596678067,0.6214811490700308,0.3785188509299692
32,0.9898384577405136,0.7983905045332107,0.2016094954667893,0.00025,0.9898325041332076,0.6353575223315079,0.3646424776684921
33,0.9901447143174905,0.7851406399127656,0.21485936008723436,0.00025,0.9898541205752213,0.6270732637000295,0.37292674684946514
34,0.9897493276975852,0.7736419397117817,0.22635806028821828,0.00025,0.990061539991767,0.628500442061804,0.3714995684876906
35,0.9903078248015548,0.7971090563630636,0.2028909436369364,0.00025,0.9896186389754303,0.6419153477238343,0.3580846522761657
36,0.9902862305134799,0.7809290574715201,0.21907094252847992,0.00025,0.9899556647359797,0.6255251411843089,0.3744748588156911
37,0.9905795233439555,0.8065038112412511,0.19349618875874883,0.00025,0.9899405525848929,0.6356915161672947,0.3643084838327053
38,0.9905433327750822,0.7976697111024266,0.20233028968878553,0.00025,0.9900939427645861,0.5736856645187446,0.4263143249317608
39,0.9881278619302057,0.7298845385028198,0.27011546149718024,0.000125,0.9898865307326865,0.5701890060331969,0.4298109939668031
40,0.9896148437947299,0.8007905931599373,0.19920940684006277,0.000125,0.9887522553975603,0.6112401749180482,0.38875982508195184
41,0.9900177764681588,0.8017684801489906,0.1982315198510094,0.000125,0.9898692443307522,0.6123852207597378,0.38761478978975683
42,0.9907048376260605,0.8046416993689748,0.1953583006310252,6.25e-05,0.9899318867025122,0.6188755568149871,0.3811244537345076
43,0.9905400777285078,0.8062251189113718,0.19377488108862817,6.25e-05,0.9897893065899874,0.6236549679156953,0.3763450320843047
44,0.9905417076254313,0.8038437144946208,0.1961562855053792,6.25e-05,0.9898670806293994,0.6224784914371186,0.37752151911237597
45,0.9907215780916467,0.7991276678785814,0.20087233212141864,3.125e-05,0.9899275666844528,0.6216829002431009,0.37831709975689914
46,0.9907853155009514,0.8070641529243604,0.19293584707563957,3.125e-05,0.9899210908771616,0.6218862016644098,0.37811378778609556
47,0.9907464258438718,0.8013054528067597,0.19869454719324028,3.125e-05,0.9899016676750858,0.622518024613372,0.37748196483713337
48,0.9907518219103856,0.8100800719936337,0.18991992800636628,1.5625e-05,0.9898973355251076,0.6223702325230152,0.3776297674769849
49,0.9908144774690139,0.8026217412104649,0.1973782587895351,1.5625e-05,0.9898951691863811,0.6231006547413042,0.3768993452586959
50,0.9907502067827545,0.8154863746820298,0.18451362531797022,1.5625e-05,0.9898606021847345,0.6238259309161026,0.3761740690838974
51,0.9907550600777685,0.8143225881905682,0.18567741180943176,1e-05,0.9898800470132744,0.6235363420131987,0.37646364743730665
52,0.9907988177991547,0.8096391289635042,0.1903608710364958,1e-05,0.9898843596466874,0.6233475134436008,0.37665247600690455
53,0.9908738864206634,0.8170970314371903,0.18290296856280977,1e-05,0.9899081255482362,0.6227316798362057,0.37726833071328897
54,0.990852287385316,0.7991052127517431,0.200894787248257,1e-05,0.9898973313053098,0.6228403364662576,0.3771596740832371
55,0.9908209569686282,0.8058619762943909,0.19413802370560906,1e-05,0.9898649211478444,0.622851459853417,0.3771485295970883
56,0.9907982745001801,0.7927437025097619,0.20725629709463203,1e-05,0.989839005259286,0.6235654306622733,0.37643457988722134
57,0.9908301450509941,0.810453125333364,0.18954687466663597,1e-05,0.9898886849394942,0.6246840953826904,0.37531590461730957
58,0.9908339265173516,0.8063011222181067,0.1936988777818933,1e-05,0.9898973160085425,0.624848589432978,0.37515140001752734
59,0.9908938866800967,0.7886004926455495,0.21139950720609818,1e-05,0.9899729479730657,0.6234299630190419,0.37657004753045276
60,0.9909214224435586,0.8156903713150362,0.1843096286849638,1e-05,0.9899859238514858,0.6231326292046403,0.37686737079535965
61,0.9909138574009448,0.7813180637570609,0.2186819362429391,1e-05,0.989964303717149,0.624168969361128,0.375831030638872
62,0.990883071338181,0.7888525369354581,0.21114746237223128,1e-05,0.9899340688654806,0.6248624388095552,0.37513756119044483
63,0.9909208870567052,0.8051570495672985,0.19484295043270144,1e-05,0.9899448694381039,0.62478962092273,0.37521036852777534
64,0.9908614701929346,0.8100695462353462,0.18993045376465384,1e-05,0.9899189556594443,0.625926635961617,0.37407336403838304
65,0.9908625488787626,0.8160019996946892,0.18399800030531083,1e-05,0.9899210929870605,0.6258742345117889,0.374125765488211
66,0.9908960371945812,0.8241014032237297,0.17589859677627023,1e-05,0.9899124508410428,0.626319205338976,0.37368078411152933
67,0.9908674074485239,0.7914791930038317,0.2085208069961683,1e-05,0.9899426983521048,0.6257479417640551,0.3742520582359449
68,0.990874437631759,0.7980254032706793,0.20197459712492682,1e-05,0.9899729411158942,0.6252822791580606,0.3747177313914341
69,0.990890640073118,0.8159366049597748,0.18406339504022515,1e-05,0.9900139849797814,0.6244814680740897,0.37551853192591034
70,0.9909689568840296,0.8175826157088828,0.18241738429111717,1e-05,0.9900140150458412,0.62479823880491,0.3752017506455953
71,0.9909230412635128,0.8191631958547947,0.18083680414520534,1e-05,0.9900010243981285,0.6253933241937013,0.3746066758062987
72,0.9908890186157902,0.8202026792332134,0.17979732076678656,1e-05,0.9899923949115044,0.6261446333564489,0.3738553666435512
73,0.9909446571780517,0.815537750193503,0.18446224980649695,1e-05,0.9899859238514858,0.6262532103378161,0.3737467791126893
74,0.9909560005221747,0.8044359335527483,0.19556406694175923,1e-05,0.9899815964487801,0.6264679400266799,0.37353205997332006
75,0.9909262862880673,0.8137631949070281,0.18623680509297194,1e-05,0.989947030502083,0.6273685451102468,0.37263146543924786
76,0.9909187154432314,0.7626092652831458,0.2373907360355411,1e-05,0.9899578263274337,0.6290320168554255,0.3709679725950798
77,0.9909208807270083,0.8096659046358767,0.19033409536412332,1e-05,0.9900161734724466,0.628776429501255,0.371223570498745
78,0.9909181863860747,0.7567966589621739,0.2432033403784828,1e-05,0.989921088239788,0.6297128712181497,0.3702871287818504
79,0.9909154767483737,0.8038810227824523,0.19611897721754767,1e-05,0.9899383767516212,0.6295040571584111,0.37049594284158893
80,0.9909354643484133,0.8020208398852728,0.1979791601147272,1e-05,0.9899383746417223,0.6296208970314634,0.37037910296853666
81,0.9909316876293284,0.8132247734913783,0.18677522650862163,1e-05,0.9899210966793837,0.6298514456875557,0.37014855431244437
82,0.9909338539680549,0.8262736243484294,0.17372637565157054,1e-05,0.9899513526300413,0.6294129944480626,0.3705870055519374
83,0.9909673396464997,0.8018498483682628,0.19815015212624473,1e-05,0.9899902359574242,0.6292057549004006,0.3707942450995994
84,0.9909921657722608,0.8227480465331963,0.1772519534668036,1e-05,0.9900118413224684,0.6291897950974186,0.37081020490258143
85,0.9909776085245926,0.8270251824792507,0.17297481752074925,1e-05,0.9900161602855784,0.6294050311620256,0.3705949688379743
86,0.9909392526719423,0.7968509450422979,0.2031490549577021,1e-05,0.9899902317376263,0.6297901172553544,0.37020988274464567
87,0.9909289869586978,0.811899528566715,0.18810047143328507,1e-05,0.9899426867476607,0.630543354865724,0.369456645134276
88,0.9908868617716089,0.8237286373577287,0.17627136264227133,1e-05,0.9899297557045929,0.630994567301421,0.36900543269857894
89,0.9909138674229647,0.8207812979158047,0.1792187020841953,1e-05,0.9899535026170511,0.6312697935948329,0.368730206405167
90,0.9909300603697785,0.8125140181684916,0.1874859818315084,1e-05,0.9899751148392669,0.6307416357825287,0.3692583536679766
91,0.9909867823651407,0.8244863643055469,0.17551363569445314,1e-05,0.9899902317376263,0.6300260614504857,0.369973949099009
