epoch,acc,f1,loss,val_acc,val_f1,val_loss
0,0.9675025634000701,0.6745169863483098,0.2995805553971419,0.9876983361829532,0.7883369325772466,0.18286515974198558
1,0.9889150048533552,0.8026424748127441,0.17078222915782318,0.9903180908463357,0.8264337705061578,0.15255616114036633
2,0.9904983046230185,0.8270766414683383,0.14837999170813668,0.9912100987965117,0.842725001849711,0.133272481533884
3,0.9915924060338211,0.8464293754335253,0.12988284346349616,0.9920068324178707,0.8554248815752394,0.123141264036378
4,0.9920120981197511,0.8520296229354735,0.12504301861618328,0.9915388624965428,0.8470443630155714,0.12620546520745973
5,0.9922215451045769,0.8546840107013336,0.12185449731404208,0.9925179415984238,0.8618055630573822,0.11919783537130947
6,0.9923870675222064,0.8575163613541469,0.11910293594274461,0.9928984939267133,0.8666351176435754,0.11851510049605252
7,0.9921191425434195,0.852632016294183,0.12330301723377571,0.9924110247208929,0.860286829589801,0.1167548192362325
8,0.9926209369569438,0.8618556372709352,0.11487756273092684,0.992286017639154,0.8589048751793161,0.11695703278834994
9,0.9924747896799873,0.8580428325939825,0.11820361653371052,0.9923681664900942,0.8606494587133612,0.11292865765568427
10,0.992599266193655,0.8606025398358571,0.11553280857466548,0.9917890419804953,0.8515212044510578,0.11655712473724192
11,0.9926466709018583,0.8613650311906612,0.11506501246896503,0.9921691887610478,0.8562959953639211,0.11985677501173292
12,0.9925908686703074,0.859418566858276,0.1168957037798904,0.9906582865029229,0.8335558468364814,0.1308019797130097
13,0.9924464578165231,0.8574053091132082,0.11796497648012313,0.9926434785356285,0.860464016125536,0.12460287763506471
14,0.9924409920854425,0.8582014013826719,0.11723823962485035,0.9915913374074803,0.8492976425713203,0.11730350242588755
15,0.9924106801690226,0.856252421940234,0.11894214465211271,0.9927217972984322,0.8625978426563089,0.11899092873660994
16,0.9922672752466398,0.8551968793493484,0.11906150778481622,0.9925707638243226,0.8600409860519777,0.1231035459741863
17,0.9923471267365804,0.8562084277776912,0.11932798695125396,0.9919558127393541,0.8526906342791976,0.12255803666190704
18,0.99215252605538,0.8525933040978009,0.12121653167263156,0.991324565718568,0.842620838368238,0.12485999066191114
19,0.9922776253165199,0.8543005750401867,0.12113383538716645,0.9925582958130469,0.8595880834654709,0.12207722395648256
20,0.992243710526183,0.8534265902943958,0.12230536342093763,0.9924179145073025,0.8564803873320073,0.12528252113620317
21,0.9920218172567797,0.8494971796897107,0.12490439574692744,0.9910241914248665,0.8401480318139567,0.12361413875860705
22,0.9917552128098456,0.8455102527084579,0.12757301252756673,0.9912222032146766,0.8426485342571556,0.12474948328193569
23,0.9918083871660994,0.8466440793804564,0.12582451374039158,0.9907375288954254,0.8314492033885597,0.1375130926308238
24,0.9912738197125774,0.8365032505625281,0.13645231854833373,0.9910310401507537,0.8388877412604805,0.12861993428727925
25,0.9916914352119978,0.8432911990663611,0.1298657749923736,0.9911704709081324,0.8384524522457802,0.13110465717714267
26,0.9913410212731457,0.837922469510511,0.13434241350133053,0.9899904856318176,0.8209205723349395,0.14082442482872187
27,0.9910920435651087,0.832983797285075,0.1391284832741181,0.9914805898957956,0.8390149263449446,0.14309725413463867
28,0.9910220853131819,0.8315379108681932,0.14119568635472002,0.9899316540182653,0.8170318421145751,0.1543212960733658
29,0.9910558432094054,0.8325802366994487,0.14076210358643088,0.9911802281331977,0.8323650351166384,0.15140225905590174
30,0.9907234100846904,0.8262258792465461,0.1453769295714067,0.9883094159486325,0.7826040030126377,0.18432632177730313
31,0.9904376188461228,0.8216791750177933,0.1492365674696651,0.9905605530269256,0.8284155891876129,0.13890492215157102
32,0.9908357384120844,0.827360366111951,0.14524472574238814,0.9917230791110812,0.8376617497026231,0.1587720215968983
33,0.9902195266931153,0.8165130714237023,0.1536902409988689,0.9913255141306399,0.8338706158941914,0.1523034224515107
34,0.990165384984413,0.8143476094215633,0.15808515037516582,0.9891854337464899,0.802669171129157,0.16363101889829682
35,0.9899360888850177,0.8112718315378553,0.1600713238855091,0.9906531567973779,0.8251646461320827,0.15300184703290934
36,0.9899607993981658,0.8127745938821183,0.15847019104635285,0.9909552497838107,0.8254928232795469,0.16118199479521228
37,0.9894819604821866,0.806094253755299,0.16429047416491968,0.9895447676266153,0.80235583982448,0.18154911841093627
38,0.9882402475654016,0.7874110572419531,0.17502931062834817,0.9879627050190983,0.7893665363176247,0.1703267775285726
39,0.9891431966227502,0.7993875855490868,0.16843311920463877,0.9901511632234496,0.8179284814405207,0.15624053327676618
