epoch,acc,f1,loss,lr,precision,recall,val_acc,val_f1,val_loss,val_precision,val_recall
0,0.8794300488929833,0.10617940396165003,0.9271954886153736,0.001,0.2702172508718759,0.3111222333601105,0.9735744875089257,0.0002529208979258248,0.9751024641821869,0.9999549072400659,0.0002529208979258248
1,0.9803580246140472,0.0006163621539470484,0.9508025925771325,0.001,0.9999932746971603,0.0006163621539470484,0.9735744875089257,0.0002529208979258248,0.9751024467755208,1.0,0.0002529208979258248
2,0.9803580211854614,0.0004364495613535998,0.9588746721238162,0.001,0.9999848074090164,0.0004364495613535998,0.9735744875089257,0.0002529208979258248,0.9751024467755208,1.0,0.0002529208979258248
3,0.9803580246140472,0.0006999182731515329,0.9444578353282624,0.001,0.9999998654939432,0.0006999182731515329,0.9735744875089257,0.0002529208979258248,0.9751024467755208,1.0,0.0002529208979258248
4,0.9803580177568756,0.0005293930528195579,0.9508193122074667,0.0005,0.999999601756577,0.0005293930528195579,0.9735744875089257,0.0002529208979258248,0.9751024467755208,1.0,0.0002529208979258248
5,0.9803580251415219,0.00041381833206633503,0.9604141108230152,0.0005,0.999999530547488,0.00041381833206633503,0.9735744875089257,0.0002529208979258248,0.9751024467755208,1.0,0.0002529208979258248
6,0.9803580285701077,0.00043529764533020243,0.958750828177528,0.0005,0.9999997389000074,0.00043529764533020243,0.9735744875089257,0.0002529208979258248,0.9751024467755208,1.0,0.0002529208979258248
7,0.9803580248777846,0.0006974797486095788,0.9467674053348272,0.00025,0.9999997837353597,0.0006974797486095788,0.9735744875089257,0.0002529208979258248,0.9751024467755208,1.0,0.0002529208979258248
8,0.9803580182843503,0.00045078390265559465,0.9577140525906487,0.00025,0.9999995885697086,0.00045078390265559465,0.9735744875089257,0.0002529208979258248,0.9751024467755208,1.0,0.0002529208979258248
9,0.9803580206579867,0.0005044378089127172,0.9563100063695317,0.00025,0.9999997758232386,0.0005044378089127172,0.9735744875089257,0.0002529208979258248,0.9751024467755208,1.0,0.0002529208979258248
10,0.9803580251415219,0.000485399824814908,0.9549214185866635,0.000125,0.9999983490040872,0.000485399824814908,0.9735744875089257,0.0002529208979258248,0.9751024467755208,1.0,0.0002529208979258248
